check,evidence,passed
DETECTOR_VERSION,liquidity-burst-detector-2026-07-20-v5-dom-geometry,True
DOM_FEATURE_COUNT,11 expected=11,True
DOM_ONLY_SCOPE,active predictors=11 expected=11,True
NO_NON_DOM_PREDICTORS,Every active predictor starts with DOM_,True
DOM_SCHEMA,Every preregistered DOM feature is emitted by C#,True
DOM_CAUSAL_WINDOWS,Every DOM window ends at t0 or earlier,True
DIRECT_DEPTH_CALLBACK,MarketDepthChanged is consumed in arrival order,True
DOM_VALIDITY_GUARD,"top-5, spread, crossed/stale checks",True
NO_POST_T0_DOM,No response/MAE/MFE fields among DOM predictors,True
WORKSPACE_DETECTOR,LiquidityBurstDetector attached to saved chart,True
WORKSPACE_EXPORTER,ATASScoreTradeResultExporter attached to saved chart,True
WORKSPACE_CSV_ENABLED,Detector ExportCsv=true and expected output folder,True
DLL_INSTALLED,Installed indicator DLL equals current Debug build,True
X10_ONLY,Run plan contains X10_R1 only,True
DST_SCOPE,256 dates; 2025-03-10 -> 2026-07-17,True
TRADING_UNCHANGED,DOM fields are observational; exporter change is Telegram text only,True
CLEAN_AB_TARGET,Model target is clean absorption versus clean continuation; C is abstention,True
THREE_FAMILY_LEDGER,"Every trade is still grouped A, B or C from terminal MAE/MFE",True
TELEGRAM_FORMAT,Efectividad del DOM antes del movimiento : 69.6% 96 sesiones,True
R3_ISOLATED_ROOT,New R3 root is empty/new or owned by this exact run label,True
OUTCOME_ONLY_PATH,MAE/MFE organize labels but are excluded from predictor specifications,True
PRIMARY_HYPOTHESIS,Wall ahead/aggression preregistered ABSORPTION > CONTINUATION,True
